Crystallize 1.4 log for model PM3_150728_2021_t20
Run began at: Fri Sep  4 14:12:51 2015

**** WARNING ****: max courant = 1.15152.  Instability possible.

Random seed used = -1441393971

Time = 250000.000000, delC = 6.94154e-09, NuclRate = 0
Uncompensated deficit of 3.04821e-11 g at index (87,37,75) at time 11.742 m.y.
Uncompensated deficit of 8.07538e-11 g at index (22,46,69) at time 11.744 m.y.
Uncompensated deficit of 6.54413e-11 g at index (88,41,76) at time 11.746 m.y.
Time = 11750000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 7.69787e-11 g at index (91,41,73) at time 11.754 m.y.
Uncompensated deficit of 2.32029e-11 g at index (89,134,48) at time 11.755 m.y.
Uncompensated deficit of 1.25843e-10 g at index (23,48,67) at time 11.756 m.y.
Uncompensated deficit of 8.11799e-11 g at index (77,123,16) at time 11.761 m.y.
Uncompensated deficit of 3.2699e-11 g at index (87,133,46) at time 11.772 m.y.
Uncompensated deficit of 1.12342e-10 g at index (79,85,72) at time 11.773 m.y.
Uncompensated deficit of 3.68554e-11 g at index (36,30,73) at time 11.774 m.y.
Uncompensated deficit of 4.17225e-12 g at index (36,59,15) at time 11.782 m.y.
Uncompensated deficit of 4.32951e-11 g at index (29,105,106) at time 11.783 m.y.
Uncompensated deficit of 5.10451e-11 g at index (36,58,16) at time 11.784 m.y.
Uncompensated deficit of 9.41433e-11 g at index (36,64,116) at time 11.794 m.y.
Uncompensated deficit of 4.39744e-11 g at index (35,64,115) at time 11.796 m.y.
Uncompensated deficit of 6.80438e-13 g at index (78,124,18) at time 11.804 m.y.
Uncompensated deficit of 3.51106e-12 g at index (37,30,72) at time 11.804 m.y.
Uncompensated deficit of 8.44229e-11 g at index (28,105,107) at time 11.806 m.y.
Uncompensated deficit of 3.93508e-11 g at index (72,84,85) at time 11.814 m.y.
Uncompensated deficit of 1.82557e-11 g at index (37,31,73) at time 11.816 m.y.
Uncompensated deficit of 3.28898e-11 g at index (37,57,15) at time 11.817 m.y.
Uncompensated deficit of 1.19714e-10 g at index (86,39,77) at time 11.826 m.y.
Uncompensated deficit of 8.53286e-11 g at index (92,39,71) at time 11.831 m.y.
Uncompensated deficit of 3.74121e-11 g at index (79,39,7) at time 11.835 m.y.
Uncompensated deficit of 1.09023e-10 g at index (38,31,72) at time 11.836 m.y.
Uncompensated deficit of 2.29298e-10 g at index (35,62,14) at time 11.845 m.y.
Uncompensated deficit of 1.03322e-10 g at index (116,137,45) at time 11.846 m.y.
Uncompensated deficit of 1.04509e-10 g at index (37,56,16) at time 11.848 m.y.
Uncompensated deficit of 7.99331e-11 g at index (16,16,109) at time 11.851 m.y.
Uncompensated deficit of 1.87264e-11 g at index (27,105,108) at time 11.857 m.y.
Uncompensated deficit of 3.14887e-11 g at index (15,14,107) at time 11.862 m.y.
Uncompensated deficit of 2.72079e-11 g at index (85,125,125) at time 11.867 m.y.
Uncompensated deficit of 5.06627e-11 g at index (39,64,119) at time 11.868 m.y.
Uncompensated deficit of 3.82165e-11 g at index (39,32,72) at time 11.881 m.y.
Uncompensated deficit of 1.84501e-12 g at index (90,117,123) at time 11.899 m.y.
Uncompensated deficit of 5.52908e-11 g at index (18,103,58) at time 11.901 m.y.
Uncompensated deficit of 1.39307e-10 g at index (87,123,127) at time 11.904 m.y.
Uncompensated deficit of 1.36407e-10 g at index (77,80,82) at time 11.906 m.y.
Uncompensated deficit of 9.00298e-11 g at index (89,118,124) at time 11.909 m.y.
Uncompensated deficit of 3.37467e-11 g at index (86,122,125) at time 11.909 m.y.
Uncompensated deficit of 1.04342e-10 g at index (91,117,124) at time 11.912 m.y.
Uncompensated deficit of 4.20957e-12 g at index (97,130,34) at time 11.920 m.y.
Uncompensated deficit of 7.64442e-12 g at index (90,118,125) at time 11.927 m.y.
Uncompensated deficit of 1.35804e-10 g at index (87,121,125) at time 11.930 m.y.
Uncompensated deficit of 9.68313e-11 g at index (88,119,124) at time 11.930 m.y.
Uncompensated deficit of 5.23066e-11 g at index (128,47,76) at time 11.934 m.y.
Uncompensated deficit of 3.89383e-11 g at index (86,121,124) at time 11.936 m.y.
Uncompensated deficit of 6.78344e-11 g at index (97,129,35) at time 11.936 m.y.
Uncompensated deficit of 1.15209e-11 g at index (87,120,124) at time 11.940 m.y.
Uncompensated deficit of 6.22e-11 g at index (136,109,40) at time 11.944 m.y.
Uncompensated deficit of 5.33039e-11 g at index (88,120,126) at time 11.948 m.y.
Uncompensated deficit of 1.75439e-11 g at index (134,109,39) at time 11.953 m.y.
Uncompensated deficit of 1.50007e-10 g at index (88,121,127) at time 11.954 m.y.
Uncompensated deficit of 7.61449e-11 g at index (45,61,12) at time 11.956 m.y.
Uncompensated deficit of 7.73723e-11 g at index (46,61,13) at time 11.960 m.y.
Uncompensated deficit of 6.81755e-11 g at index (135,107,39) at time 11.969 m.y.
Uncompensated deficit of 9.45704e-11 g at index (89,120,127) at time 11.976 m.y.
Uncompensated deficit of 2.46833e-11 g at index (44,61,11) at time 11.977 m.y.
Uncompensated deficit of 6.18311e-11 g at index (38,126,57) at time 11.978 m.y.
Uncompensated deficit of 1.16448e-10 g at index (44,59,12) at time 11.987 m.y.
Uncompensated deficit of 1.91475e-10 g at index (89,121,128) at time 11.994 m.y.
Uncompensated deficit of 1.64201e-10 g at index (123,98,129) at time 11.998 m.y.
Time = 12000000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 1.1294e-10 g at index (138,110,41) at time 12.006 m.y.
Uncompensated deficit of 1.53055e-10 g at index (96,115,123) at time 12.018 m.y.
Uncompensated deficit of 1.89758e-11 g at index (97,115,124) at time 12.019 m.y.
Uncompensated deficit of 7.28447e-11 g at index (102,116,124) at time 12.051 m.y.
Uncompensated deficit of 7.1193e-11 g at index (107,49,98) at time 12.058 m.y.
Uncompensated deficit of 5.24423e-11 g at index (36,117,102) at time 12.067 m.y.
Uncompensated deficit of 6.66834e-11 g at index (106,49,99) at time 12.085 m.y.
Uncompensated deficit of 5.44588e-11 g at index (108,48,99) at time 12.086 m.y.
Uncompensated deficit of 6.66733e-11 g at index (107,50,97) at time 12.087 m.y.
Uncompensated deficit of 1.10837e-10 g at index (70,79,74) at time 12.088 m.y.
Uncompensated deficit of 4.20414e-10 g at index (69,82,76) at time 12.091 m.y.
Uncompensated deficit of 1.9925e-10 g at index (68,78,73) at time 12.092 m.y.
Uncompensated deficit of 4.07359e-10 g at index (69,81,75) at time 12.092 m.y.
Uncompensated deficit of 8.0409e-11 g at index (49,103,43) at time 12.093 m.y.
Uncompensated deficit of 2.48245e-11 g at index (92,50,84) at time 12.094 m.y.
Uncompensated deficit of 2.89811e-10 g at index (69,77,73) at time 12.096 m.y.
Uncompensated deficit of 7.16262e-11 g at index (27,109,96) at time 12.097 m.y.
Uncompensated deficit of 5.47499e-11 g at index (49,102,42) at time 12.102 m.y.
Uncompensated deficit of 1.7803e-11 g at index (49,104,44) at time 12.104 m.y.
Uncompensated deficit of 3.94557e-11 g at index (91,49,82) at time 12.107 m.y.
Uncompensated deficit of 1.6009e-11 g at index (107,48,100) at time 12.107 m.y.
Uncompensated deficit of 7.95897e-11 g at index (27,108,95) at time 12.110 m.y.
Uncompensated deficit of 3.65799e-11 g at index (26,110,97) at time 12.126 m.y.
Uncompensated deficit of 1.46613e-10 g at index (42,116,100) at time 12.127 m.y.
Uncompensated deficit of 2.12552e-11 g at index (49,101,41) at time 12.130 m.y.
Uncompensated deficit of 9.28933e-12 g at index (91,47,78) at time 12.132 m.y.
Uncompensated deficit of 6.57573e-11 g at index (51,103,42) at time 12.132 m.y.
Uncompensated deficit of 1.60607e-10 g at index (90,47,79) at time 12.132 m.y.
Uncompensated deficit of 1.41108e-10 g at index (90,48,81) at time 12.137 m.y.
Uncompensated deficit of 3.91068e-11 g at index (51,102,41) at time 12.139 m.y.
Uncompensated deficit of 4.91769e-11 g at index (109,47,100) at time 12.139 m.y.
Uncompensated deficit of 1.20906e-10 g at index (23,107,78) at time 12.140 m.y.
Uncompensated deficit of 1.46935e-10 g at index (51,104,43) at time 12.141 m.y.
Uncompensated deficit of 2.90006e-11 g at index (119,37,79) at time 12.141 m.y.
Uncompensated deficit of 1.96603e-11 g at index (25,108,94) at time 12.142 m.y.
Uncompensated deficit of 3.78034e-13 g at index (93,51,86) at time 12.143 m.y.
Uncompensated deficit of 1.68958e-10 g at index (89,47,80) at time 12.147 m.y.
Uncompensated deficit of 2.36805e-11 g at index (105,51,97) at time 12.149 m.y.
Uncompensated deficit of 5.05583e-12 g at index (106,51,96) at time 12.149 m.y.
Uncompensated deficit of 7.3818e-11 g at index (120,37,80) at time 12.153 m.y.
Uncompensated deficit of 6.69619e-11 g at index (119,39,80) at time 12.156 m.y.
Uncompensated deficit of 5.75403e-11 g at index (118,39,79) at time 12.156 m.y.
Uncompensated deficit of 3.2185e-11 g at index (50,101,40) at time 12.160 m.y.
Uncompensated deficit of 5.20302e-11 g at index (118,37,78) at time 12.162 m.y.
Uncompensated deficit of 4.74518e-11 g at index (108,47,101) at time 12.163 m.y.
Uncompensated deficit of 8.81798e-11 g at index (52,102,40) at time 12.170 m.y.
Uncompensated deficit of 8.31555e-11 g at index (29,108,96) at time 12.171 m.y.
Uncompensated deficit of 4.31117e-11 g at index (102,76,104) at time 12.177 m.y.
Uncompensated deficit of 7.32044e-11 g at index (48,100,40) at time 12.182 m.y.
Uncompensated deficit of 7.31689e-11 g at index (101,76,105) at time 12.183 m.y.
Uncompensated deficit of 5.98009e-11 g at index (117,39,78) at time 12.187 m.y.
Uncompensated deficit of 6.6161e-11 g at index (120,39,81) at time 12.188 m.y.
Uncompensated deficit of 2.79437e-11 g at index (102,77,105) at time 12.188 m.y.
Uncompensated deficit of 4.51271e-11 g at index (101,75,104) at time 12.190 m.y.
Uncompensated deficit of 6.0154e-11 g at index (103,77,103) at time 12.200 m.y.
Uncompensated deficit of 5.43039e-11 g at index (25,111,98) at time 12.202 m.y.
Uncompensated deficit of 1.1801e-10 g at index (53,102,39) at time 12.206 m.y.
Uncompensated deficit of 9.09097e-11 g at index (30,80,82) at time 12.209 m.y.
Uncompensated deficit of 6.2218e-11 g at index (54,104,41) at time 12.214 m.y.
Uncompensated deficit of 7.18824e-11 g at index (102,78,106) at time 12.217 m.y.
Uncompensated deficit of 1.19184e-10 g at index (100,74,104) at time 12.231 m.y.
Uncompensated deficit of 9.616e-11 g at index (54,105,42) at time 12.234 m.y.
Uncompensated deficit of 8.1036e-12 g at index (125,58,125) at time 12.243 m.y.
Uncompensated deficit of 1.06413e-10 g at index (109,46,102) at time 12.249 m.y.
Time = 12250000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 9.53778e-11 g at index (104,78,103) at time 12.253 m.y.
Uncompensated deficit of 9.86895e-11 g at index (126,59,125) at time 12.254 m.y.
Uncompensated deficit of 2.79786e-11 g at index (124,57,125) at time 12.261 m.y.
Uncompensated deficit of 2.21751e-11 g at index (55,105,41) at time 12.270 m.y.
Uncompensated deficit of 4.80962e-11 g at index (104,79,104) at time 12.270 m.y.
Uncompensated deficit of 1.10005e-11 g at index (46,5,119) at time 12.276 m.y.
Uncompensated deficit of 3.6365e-11 g at index (44,5,118) at time 12.281 m.y.
Uncompensated deficit of 1.27888e-10 g at index (124,56,124) at time 12.281 m.y.
Uncompensated deficit of 1.50145e-11 g at index (45,7,119) at time 12.283 m.y.
Uncompensated deficit of 1.05658e-11 g at index (45,3,118) at time 12.290 m.y.
Uncompensated deficit of 1.56944e-10 g at index (95,85,64) at time 12.300 m.y.
Uncompensated deficit of 1.15583e-10 g at index (96,83,64) at time 12.305 m.y.
Uncompensated deficit of 7.87645e-11 g at index (97,84,65) at time 12.306 m.y.
Uncompensated deficit of 1.21566e-10 g at index (116,112,54) at time 12.312 m.y.
Uncompensated deficit of 1.30857e-10 g at index (98,84,66) at time 12.313 m.y.
Uncompensated deficit of 6.46156e-11 g at index (47,7,120) at time 12.315 m.y.
Uncompensated deficit of 9.72579e-11 g at index (53,114,51) at time 12.319 m.y.
Uncompensated deficit of 7.72182e-11 g at index (96,86,65) at time 12.321 m.y.
Uncompensated deficit of 1.20662e-11 g at index (125,55,122) at time 12.330 m.y.
Uncompensated deficit of 5.41579e-11 g at index (43,3,117) at time 12.333 m.y.
Uncompensated deficit of 1.13494e-10 g at index (99,84,67) at time 12.334 m.y.
Uncompensated deficit of 4.79747e-11 g at index (97,86,66) at time 12.335 m.y.
Uncompensated deficit of 2.13571e-10 g at index (31,110,100) at time 12.339 m.y.
Uncompensated deficit of 1.26791e-10 g at index (114,109,54) at time 12.363 m.y.
Uncompensated deficit of 7.13492e-11 g at index (15,108,67) at time 12.365 m.y.
Uncompensated deficit of 1.29518e-10 g at index (100,84,68) at time 12.371 m.y.
Uncompensated deficit of 7.53657e-11 g at index (12,107,66) at time 12.372 m.y.
Uncompensated deficit of 2.36123e-10 g at index (50,110,48) at time 12.379 m.y.
Uncompensated deficit of 2.32814e-13 g at index (93,50,58) at time 12.381 m.y.
Uncompensated deficit of 6.69413e-11 g at index (15,109,70) at time 12.392 m.y.
Uncompensated deficit of 2.08139e-10 g at index (48,111,49) at time 12.393 m.y.
Uncompensated deficit of 2.14448e-11 g at index (116,20,78) at time 12.394 m.y.
Uncompensated deficit of 1.0015e-10 g at index (9,97,62) at time 12.396 m.y.
Uncompensated deficit of 9.20102e-11 g at index (8,98,64) at time 12.401 m.y.
Uncompensated deficit of 3.34448e-11 g at index (117,19,79) at time 12.401 m.y.
Uncompensated deficit of 5.52162e-11 g at index (14,109,71) at time 12.402 m.y.
Uncompensated deficit of 6.43962e-11 g at index (115,19,78) at time 12.406 m.y.
Uncompensated deficit of 3.77681e-11 g at index (48,8,121) at time 12.408 m.y.
Uncompensated deficit of 8.25606e-12 g at index (114,20,77) at time 12.413 m.y.
Uncompensated deficit of 1.01805e-11 g at index (116,21,77) at time 12.418 m.y.
Uncompensated deficit of 1.35637e-10 g at index (41,4,116) at time 12.423 m.y.
Uncompensated deficit of 8.9146e-11 g at index (101,83,69) at time 12.425 m.y.
Uncompensated deficit of 8.37279e-11 g at index (115,18,79) at time 12.428 m.y.
Uncompensated deficit of 2.80912e-11 g at index (16,41,99) at time 12.430 m.y.
Uncompensated deficit of 1.06847e-10 g at index (27,104,90) at time 12.431 m.y.
Uncompensated deficit of 7.9885e-11 g at index (110,117,129) at time 12.433 m.y.
Uncompensated deficit of 2.55011e-10 g at index (72,93,95) at time 12.434 m.y.
Uncompensated deficit of 7.15555e-11 g at index (118,21,78) at time 12.437 m.y.
Uncompensated deficit of 8.70736e-11 g at index (117,18,80) at time 12.440 m.y.
Uncompensated deficit of 5.42766e-11 g at index (114,21,76) at time 12.445 m.y.
Uncompensated deficit of 5.35456e-12 g at index (115,113,132) at time 12.449 m.y.
Uncompensated deficit of 7.71618e-11 g at index (114,114,131) at time 12.452 m.y.
Uncompensated deficit of 1.00266e-11 g at index (113,19,77) at time 12.452 m.y.
Uncompensated deficit of 6.30133e-11 g at index (95,49,62) at time 12.455 m.y.
Uncompensated deficit of 1.43876e-11 g at index (133,107,71) at time 12.455 m.y.
Uncompensated deficit of 5.60818e-11 g at index (95,47,61) at time 12.455 m.y.
Uncompensated deficit of 1.07268e-10 g at index (90,76,92) at time 12.458 m.y.
Uncompensated deficit of 7.07941e-11 g at index (91,77,91) at time 12.462 m.y.
Uncompensated deficit of 2.31664e-11 g at index (116,112,133) at time 12.462 m.y.
Uncompensated deficit of 1.80046e-11 g at index (113,20,76) at time 12.463 m.y.
Uncompensated deficit of 1.05767e-10 g at index (116,22,76) at time 12.466 m.y.
Uncompensated deficit of 2.52866e-11 g at index (92,50,56) at time 12.466 m.y.
Uncompensated deficit of 8.4287e-11 g at index (113,115,130) at time 12.467 m.y.
Uncompensated deficit of 2.35644e-11 g at index (119,19,80) at time 12.467 m.y.
Uncompensated deficit of 4.56145e-11 g at index (110,120,16) at time 12.468 m.y.
Uncompensated deficit of 5.82741e-11 g at index (134,108,72) at time 12.472 m.y.
Uncompensated deficit of 5.01896e-11 g at index (90,78,91) at time 12.473 m.y.
Uncompensated deficit of 4.97224e-12 g at index (89,77,92) at time 12.473 m.y.
Uncompensated deficit of 1.44972e-10 g at index (90,75,93) at time 12.476 m.y.
Uncompensated deficit of 1.6835e-10 g at index (86,77,94) at time 12.476 m.y.
Uncompensated deficit of 7.11293e-11 g at index (133,106,72) at time 12.477 m.y.
Uncompensated deficit of 1.09052e-10 g at index (15,43,100) at time 12.481 m.y.
Uncompensated deficit of 1.3517e-10 g at index (88,76,93) at time 12.481 m.y.
Uncompensated deficit of 2.36034e-10 g at index (87,78,93) at time 12.491 m.y.
Uncompensated deficit of 2.35805e-10 g at index (87,76,94) at time 12.492 m.y.
Uncompensated deficit of 2.26795e-11 g at index (88,78,92) at time 12.493 m.y.
Uncompensated deficit of 1.5556e-10 g at index (9,104,64) at time 12.495 m.y.
Uncompensated deficit of 2.47125e-12 g at index (88,75,94) at time 12.496 m.y.
Uncompensated deficit of 4.97275e-11 g at index (93,78,90) at time 12.497 m.y.
Uncompensated deficit of 8.1444e-11 g at index (113,21,75) at time 12.497 m.y.
Uncompensated deficit of 4.0913e-11 g at index (11,47,133) at time 12.498 m.y.
Uncompensated deficit of 5.4915e-11 g at index (87,75,95) at time 12.499 m.y.
Uncompensated deficit of 6.99141e-11 g at index (10,48,132) at time 12.499 m.y.
Uncompensated deficit of 9.1302e-11 g at index (114,22,75) at time 12.499 m.y.
Time = 12500000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 8.74385e-11 g at index (124,116,40) at time 12.500 m.y.
Uncompensated deficit of 7.89483e-11 g at index (134,109,71) at time 12.501 m.y.
Uncompensated deficit of 2.19577e-11 g at index (12,47,132) at time 12.502 m.y.
Uncompensated deficit of 1.94732e-11 g at index (132,106,71) at time 12.503 m.y.
Uncompensated deficit of 1.2371e-10 g at index (115,112,135) at time 12.503 m.y.
Uncompensated deficit of 1.87856e-10 g at index (90,74,94) at time 12.503 m.y.
Uncompensated deficit of 2.93431e-11 g at index (118,111,131) at time 12.505 m.y.
Uncompensated deficit of 1.0518e-10 g at index (132,107,70) at time 12.506 m.y.
Uncompensated deficit of 2.58501e-10 g at index (87,80,92) at time 12.511 m.y.
Uncompensated deficit of 2.10202e-10 g at index (87,74,96) at time 12.516 m.y.
Uncompensated deficit of 1.93857e-10 g at index (88,74,95) at time 12.516 m.y.
Uncompensated deficit of 6.51659e-12 g at index (112,20,75) at time 12.517 m.y.
Uncompensated deficit of 3.32474e-11 g at index (135,108,73) at time 12.518 m.y.
Uncompensated deficit of 2.86166e-11 g at index (135,109,72) at time 12.525 m.y.
Uncompensated deficit of 9.44699e-11 g at index (116,16,81) at time 12.530 m.y.
Uncompensated deficit of 3.0099e-11 g at index (112,17,78) at time 12.533 m.y.
Uncompensated deficit of 3.25199e-11 g at index (123,115,39) at time 12.537 m.y.
Uncompensated deficit of 1.94292e-11 g at index (20,113,101) at time 12.540 m.y.
Uncompensated deficit of 8.96608e-11 g at index (118,110,134) at time 12.544 m.y.
Uncompensated deficit of 8.62644e-12 g at index (19,113,100) at time 12.547 m.y.
Uncompensated deficit of 2.29122e-10 g at index (67,77,113) at time 12.547 m.y.
Uncompensated deficit of 8.55709e-11 g at index (12,46,134) at time 12.548 m.y.
Uncompensated deficit of 1.52244e-11 g at index (135,107,74) at time 12.548 m.y.
Uncompensated deficit of 1.24302e-10 g at index (119,110,132) at time 12.550 m.y.
Uncompensated deficit of 1.1344e-10 g at index (22,110,64) at time 12.550 m.y.
Uncompensated deficit of 2.90111e-10 g at index (66,77,112) at time 12.551 m.y.
Uncompensated deficit of 6.34781e-11 g at index (13,46,133) at time 12.552 m.y.
Uncompensated deficit of 1.27804e-11 g at index (9,49,131) at time 12.552 m.y.
Uncompensated deficit of 2.14302e-10 g at index (21,112,107) at time 12.553 m.y.
Uncompensated deficit of 4.62726e-12 g at index (113,22,74) at time 12.555 m.y.
Uncompensated deficit of 3.14863e-10 g at index (68,77,114) at time 12.555 m.y.
Uncompensated deficit of 1.65984e-10 g at index (26,118,106) at time 12.557 m.y.
Uncompensated deficit of 9.45917e-11 g at index (112,21,74) at time 12.558 m.y.
Uncompensated deficit of 2.87253e-10 g at index (26,117,105) at time 12.570 m.y.
Uncompensated deficit of 1.5573e-10 g at index (24,114,104) at time 12.571 m.y.
Uncompensated deficit of 1.77617e-10 g at index (69,77,115) at time 12.573 m.y.
Uncompensated deficit of 7.30715e-10 g at index (25,115,104) at time 12.574 m.y.
Uncompensated deficit of 6.72321e-11 g at index (8,49,132) at time 12.574 m.y.
Uncompensated deficit of 1.46432e-10 g at index (46,118,56) at time 12.585 m.y.
Uncompensated deficit of 8.87969e-11 g at index (118,16,82) at time 12.588 m.y.
Uncompensated deficit of 1.98684e-10 g at index (45,117,56) at time 12.591 m.y.
Uncompensated deficit of 3.81753e-10 g at index (46,119,57) at time 12.593 m.y.
Uncompensated deficit of 1.44863e-10 g at index (44,116,56) at time 12.599 m.y.
Uncompensated deficit of 9.34367e-11 g at index (120,109,133) at time 12.608 m.y.
Uncompensated deficit of 8.38317e-11 g at index (50,70,8) at time 12.614 m.y.
Uncompensated deficit of 7.22291e-11 g at index (33,11,75) at time 12.617 m.y.
Uncompensated deficit of 5.0236e-11 g at index (34,11,73) at time 12.617 m.y.
Uncompensated deficit of 3.65662e-12 g at index (33,12,74) at time 12.621 m.y.
Uncompensated deficit of 6.35007e-11 g at index (112,22,73) at time 12.621 m.y.
Uncompensated deficit of 5.81084e-11 g at index (64,50,2) at time 12.632 m.y.
Uncompensated deficit of 5.33379e-11 g at index (32,12,75) at time 12.640 m.y.
Uncompensated deficit of 2.56394e-10 g at index (131,108,66) at time 12.640 m.y.
Uncompensated deficit of 5.35222e-11 g at index (33,10,76) at time 12.641 m.y.
Uncompensated deficit of 7.16932e-11 g at index (122,108,132) at time 12.642 m.y.
Uncompensated deficit of 5.61126e-11 g at index (35,10,73) at time 12.642 m.y.
Uncompensated deficit of 7.12995e-11 g at index (35,9,74) at time 12.646 m.y.
Uncompensated deficit of 8.13143e-12 g at index (31,15,73) at time 12.646 m.y.
Uncompensated deficit of 8.78611e-11 g at index (14,45,134) at time 12.649 m.y.
Uncompensated deficit of 2.40196e-10 g at index (130,107,66) at time 12.649 m.y.
Uncompensated deficit of 1.30203e-10 g at index (32,13,74) at time 12.651 m.y.
Uncompensated deficit of 2.98962e-11 g at index (132,110,66) at time 12.653 m.y.
Uncompensated deficit of 9.21495e-12 g at index (121,108,134) at time 12.655 m.y.
Uncompensated deficit of 6.70577e-11 g at index (34,12,72) at time 12.660 m.y.
Uncompensated deficit of 1.4656e-10 g at index (31,14,74) at time 12.665 m.y.
Uncompensated deficit of 8.33219e-11 g at index (32,14,72) at time 12.670 m.y.
Uncompensated deficit of 3.50456e-11 g at index (42,77,59) at time 12.671 m.y.
Uncompensated deficit of 6.00902e-11 g at index (61,66,9) at time 12.674 m.y.
Uncompensated deficit of 3.37682e-11 g at index (35,8,75) at time 12.679 m.y.
Uncompensated deficit of 2.9356e-10 g at index (133,111,66) at time 12.680 m.y.
Uncompensated deficit of 8.44767e-11 g at index (70,99,10) at time 12.681 m.y.
Uncompensated deficit of 2.04181e-11 g at index (60,67,8) at time 12.682 m.y.
Uncompensated deficit of 5.8711e-11 g at index (69,99,11) at time 12.688 m.y.
Uncompensated deficit of 5.03106e-11 g at index (71,101,10) at time 12.689 m.y.
Uncompensated deficit of 3.24499e-11 g at index (33,9,77) at time 12.692 m.y.
Uncompensated deficit of 4.75587e-11 g at index (107,131,34) at time 12.696 m.y.
Uncompensated deficit of 1.09673e-11 g at index (71,99,9) at time 12.709 m.y.
Uncompensated deficit of 1.2955e-10 g at index (62,65,9) at time 12.712 m.y.
Uncompensated deficit of 1.46323e-11 g at index (108,130,34) at time 12.727 m.y.
Uncompensated deficit of 3.15165e-11 g at index (59,68,9) at time 12.727 m.y.
Uncompensated deficit of 4.18967e-11 g at index (72,101,9) at time 12.732 m.y.
Uncompensated deficit of 1.10611e-10 g at index (84,28,95) at time 12.732 m.y.
Uncompensated deficit of 6.53333e-11 g at index (25,44,108) at time 12.734 m.y.
Uncompensated deficit of 9.08324e-11 g at index (84,25,93) at time 12.738 m.y.
Uncompensated deficit of 1.01688e-10 g at index (114,13,83) at time 12.743 m.y.
Uncompensated deficit of 1.24831e-10 g at index (5,27,97) at time 12.743 m.y.
Uncompensated deficit of 1.21351e-10 g at index (5,26,98) at time 12.749 m.y.
Time = 12750000.000000, delC = 2.61326e-07, NuclRate = 1.9189e-13
Uncompensated deficit of 1.06133e-10 g at index (55,130,88) at time 12.751 m.y.
Uncompensated deficit of 1.27774e-10 g at index (5,25,99) at time 12.751 m.y.
Uncompensated deficit of 9.30921e-11 g at index (54,130,89) at time 12.752 m.y.
Uncompensated deficit of 1.62407e-10 g at index (3,26,97) at time 12.756 m.y.
Uncompensated deficit of 8.18823e-11 g at index (117,127,39) at time 12.766 m.y.
Uncompensated deficit of 1.05599e-10 g at index (72,99,8) at time 12.766 m.y.
Uncompensated deficit of 6.56717e-11 g at index (5,24,100) at time 12.773 m.y.
Uncompensated deficit of 1.58822e-11 g at index (99,128,50) at time 12.775 m.y.
Uncompensated deficit of 9.07791e-11 g at index (75,30,122) at time 12.775 m.y.
Uncompensated deficit of 1.14524e-10 g at index (83,28,93) at time 12.776 m.y.
Uncompensated deficit of 8.88474e-12 g at index (100,128,49) at time 12.777 m.y.
Uncompensated deficit of 1.18984e-10 g at index (96,127,51) at time 12.779 m.y.
Uncompensated deficit of 1.12053e-10 g at index (76,31,121) at time 12.780 m.y.
Uncompensated deficit of 1.02756e-11 g at index (98,127,49) at time 12.780 m.y.
Uncompensated deficit of 1.02955e-10 g at index (83,29,94) at time 12.785 m.y.
Uncompensated deficit of 1.02781e-10 g at index (100,127,48) at time 12.786 m.y.
Uncompensated deficit of 6.19191e-11 g at index (73,115,50) at time 12.787 m.y.
Uncompensated deficit of 9.01983e-11 g at index (98,128,51) at time 12.787 m.y.
Uncompensated deficit of 4.89045e-11 g at index (97,127,50) at time 12.788 m.y.
Uncompensated deficit of 3.45437e-11 g at index (101,129,49) at time 12.789 m.y.
Uncompensated deficit of 3.65014e-11 g at index (100,129,50) at time 12.790 m.y.
Uncompensated deficit of 3.104e-11 g at index (73,29,123) at time 12.790 m.y.
Uncompensated deficit of 1.75501e-11 g at index (82,27,90) at time 12.791 m.y.
Uncompensated deficit of 1.56708e-10 g at index (101,128,48) at time 12.792 m.y.
Uncompensated deficit of 1.05822e-10 g at index (103,129,48) at time 12.792 m.y.
Uncompensated deficit of 1.13264e-10 g at index (33,102,66) at time 12.798 m.y.
Uncompensated deficit of 8.38475e-11 g at index (96,126,50) at time 12.798 m.y.
Uncompensated deficit of 2.7284e-10 g at index (33,103,65) at time 12.799 m.y.
Uncompensated deficit of 8.83832e-11 g at index (32,104,63) at time 12.800 m.y.
Uncompensated deficit of 7.27275e-12 g at index (97,128,52) at time 12.800 m.y.
Uncompensated deficit of 7.56452e-11 g at index (99,129,51) at time 12.800 m.y.
Uncompensated deficit of 7.08406e-10 g at index (34,102,67) at time 12.801 m.y.
Uncompensated deficit of 4.2274e-10 g at index (34,101,68) at time 12.802 m.y.
Uncompensated deficit of 3.88344e-12 g at index (46,80,71) at time 12.803 m.y.
Uncompensated deficit of 1.48364e-10 g at index (97,126,49) at time 12.804 m.y.
Uncompensated deficit of 9.99474e-11 g at index (35,101,69) at time 12.805 m.y.
Uncompensated deficit of 9.67557e-11 g at index (98,126,48) at time 12.805 m.y.
Uncompensated deficit of 3.96417e-10 g at index (36,100,70) at time 12.808 m.y.
